2447468.21  -19.0	1.0
2447472.19  -18.3	1.0
2447501.09  -17.0	1.0
2447508.04  -16.5	1.0
2447515.04  -14.0	1.0
2447531.03  -15.5	1.0
2447543.98  -12.5	1.0
2447581.18  -10.3	1.0
2447611.84  -8.8	1.0
2447645.82  -6.9	1.0
2447829.16  -0.6	1.0
2447847.14  2.6		1.0
2447883.04  1.3		1.0
2447905.01  2.2		1.0
2447921.02  2.3		1.0
2447934.14  2.0		1.0
2447985.84  3.2		1.0
2448171.20  6.6		1.0
2447229.13  7.2		1.0
2448282.01  6.8		1.0
2448328.85  6.5		1.0
2448349.87  3.7		1.0
2448558.16  -30.4	1.0
2448606.04  -32.4	1.0
2448635.01  -30.0	1.0
2448639.00  -29.1	1.0
2448645.06  -28.3	1.0
2448679.30  -24.1	1.0
2448734.85  -18.4	1.0
