43906.656 -10.99   2
43942.727 -11.63   2
43943.656 -11.62   2
43970.707 -9.68    2
44073.973 -9.02    2
44085.934 -8.31    2
44110.988 -7.97    2
44141.977 -6.71    2
44177.922 -5.08    2
44191.973 -4.47    2
44263.723 -2.13    2
44298.680 0.13     2
44331.730 1.11     2
44493.934 2.27     2
44500.043 2.32     2
44606.738 0.47     2
44607.840 -0.24    2
44668.770 -1.22    2
44781.910 -5.56    2
44817.988 -7.62    2
44876.945 -9.34    2
44935.859 -10.82   2
45046.680 -10.89   2
45068.664 -10.96   2
45384.719 1.39     2
45585.953 2.26     2
45667.945 0.76     2
46040.816 -10.94   2
46335.047 -4.07    2
46704.996 1.03     2
46720.945 0.81     2
46802.645 -2.00    2
46802.719 -2.09    2
46851.844 -2.81    2
47005.926 -8.90    2
47141.609 -11.46   2
59663.308  26.539  2.281
