         Mode                 Median              +1 sigma         -1 sigma            Low_bound            Upper_bound                  5%                 95%            Parameter
      0.212588016852      0.213378786115         0.00496028        0.00477471        0.208604074670        0.218339067347          0.205331486870        0.221325144168  binary eccentricity
   4626.600610003340   4628.375183232828         8.24825926        7.77886514     4620.596318087922     4636.623442488658       4615.753691048862     4642.096401467777  binary period (days)
      3.604357054180      3.604060200690         0.02819184        0.03028303        3.573777171823        3.632252040138          3.554271215061        3.650154502738  K1 (km/sec)
  47912.795271001429  47908.473002672901        26.30432105       27.23681913    47881.236183542183    47934.777323721326      47862.790587640986    47951.595383739012  T0
    210.534587991193    210.942211099988         1.69181819        1.71910525      209.223105845460      212.634029293563        208.032165153905      213.884257440105  binary arg_per (deg)
     41.875720756994     42.821518842946        22.18966517       21.11777223       21.703746608253       65.011184009428         14.169044457330       71.606434798623  binary inclination (deg)
    104.527028046803    177.915658715692       121.29381291      115.31221142       62.603447293247      299.209471622321         21.456727903009      341.577194306286  Omega_bin (deg)
      0.362921250544      0.465391630193         0.28733815        0.29062776        0.174763874567        0.752729780555          0.065094583870        0.852552827580  Q (M2/M1)
    -35.769345928200    -35.765804010000         0.01490949        0.01562128      -35.781425290000      -35.750894520000        -35.790670370000      -35.739860450000  gamma velocity, star 1 (km/sec)
  47912.795271001429  47908.473002672901        26.30432105       27.23681913    47881.236183542183    47934.777323721326      47862.790587640986    47951.595383739012  Time of binary periastron passage
  48397.822726276929  48327.102092359761        73.17494244      221.82571439    48105.276377965325    48400.277034798382      47986.737751880908    48418.832238755538  Time of superior conjunction of star 1
  46678.115913161120  46876.733831516962      1316.65880702      190.88486053    46685.848970983396    48193.392638534824      46658.698065337885    50000.651351092507  Time of inferior conjunction of star 1
