2443610.727    -32.0  1.0
2443646.656    -34.0  1.0
2443902.980   -32.97 0.5
2443902.98     -32.78  0.5
2443918.945    -32.33 0.5
2443918.95     -32.18  0.5
2443918.97     -32.38  0.5
2443918.973    -32.53 0.5
2443942.867    -32.24 0.5
2443942.87     -32.37  0.5
2443943.89     -32.68  0.5
2443943.895    -32.43 0.5
2443970.809    -32.50 0.5
2443970.81     -32.69  0.5
2444011.86     -32.74  0.5
2444011.863    -32.52 0.5
2444026.75     -33.71  0.5
2444026.754    -33.45 0.5
2444038.789    -32.44 0.5
2444038.79     -32.61  0.5
2444085.738    -32.34 0.5
2444085.74     -32.34  0.5
2444304.88     -32.41  0.5
2444304.883    -32.09 0.5
2444331.848    -32.18 0.5
2444331.85     -32.45  0.5
2444352.85     -32.82  0.5
2444352.852   -32.56 0.5
2444358.656     -31.6  1.0
2444382.746    -32.04 0.5
2444382.75     -32.22  0.5
2444428.711    -32.15 0.5
2444607.06     -32.58  0.5
2444607.063    -32.51 0.5
2444653.826     -31.3  1.0
2444751.79      -32.01  0.5
2444751.793    -31.70 0.5
2444936.117     -32.24 0.5
2444936.12      -32.48  0.5
2445051.789    -32.14 0.5
2445051.79      -32.23  0.5
2445053.871    -30.70 0.5
2445068.906    -31.46 0.5
2445068.91      -31.67  0.5
2445105.72      -32.03  0.5
2445105.723    -31.88 0.5
2445308.7141  -32.100  0.310
2445368.000    -32.23 0.5
2445441.824     -31.79 0.5
2445713.008    -32.10 0.5
2445803.801    -31.75 0.5
2446161.6598  -31.740  0.260
2446558.766    -30.49 0.5
2446640.715    -30.20 0.5
2446776.7267  -31.220  0.300
2446819.6859  -31.050  0.300
2446851.926    -30.71 0.5
2446869.5462  -31.050  0.290
2446885.4783  -31.230  0.280
2446885.879    -30.00 0.5
2446970.727    -30.49 0.5
2447204.6022  -30.950  0.290
2447224.039    -30.03 0.5
2447226.5503  -30.820  0.280
2447275.809    -30.64 0.5
2447297.4229  -31.020  0.290
2447280.6035  -30.650  0.270
2447316.828    -29.59 0.5
2447542.6814  -31.020  0.280
2447572.5801  -30.720  0.290
2447634.918    -30.06    0.5
2447652.4466  -30.970  0.290
2447914.6457  -30.830  0.280
2447996.4402  -30.380  0.280
2448014.3615  -30.630  0.280
2448300.6424  -30.410  0.290
2448651.6311  -30.460  0.270
2448694.5254  -30.380  0.280
2449057.5626  -30.370  0.300
2449392.6036  -30.300  0.290
2449446.4447  -30.350  0.290
2449487.3790  -30.800  0.290
2449752.6723  -30.360  0.300
2450072.7213  -30.560  0.290
2454932.5227  -29.778  0.042
2455200.7760  -30.145  0.044
2455217.7089  -30.142  0.044
2455234.7581  -30.161  0.045
2455264.6125  -30.241  0.045
2455284.5719  -30.224  0.045
2455337.4042  -30.261  0.045
2455576.6552  -30.317  0.045
2455614.6589  -30.428  0.045
2455630.5571  -30.373  0.045
2455638.4479  -30.460  0.045
2455651.6136  -30.412  0.044
2455652.6103  -30.418  0.044
2455652.6129  -30.414  0.044
2455654.5281  -30.392  0.044
2455659.4505  -30.559  0.044
2455659.5041  -30.588  0.044
2455660.4539  -30.613  0.044
2455934.7395  -30.501  0.045
2455951.7397  -30.492  0.045
2455960.6376  -30.541  0.045
2456017.6012  -30.660  0.044
2456041.5107  -30.708  0.045
2456322.6139  -30.719  0.045
2456326.5564  -30.732  0.045
2456326.6081  -30.678  0.045
2456331.6590  -30.799  0.045
2456352.7096  -30.648  0.046
2456393.4814  -30.883  0.045
2456453.3975  -30.879  0.046
2456676.6585  -31.020  0.045
2456676.6653  -31.016  0.045
2456676.6680  -31.013  0.045
2456677.7290  -30.899  0.045
2456752.5351  -31.014  0.044
2457035.7455  -31.129  0.046
2457130.5340  -31.279  0.044
2457160.4186  -31.320  0.045
2457352.7400  -31.303  0.046
2457448.5467  -31.456  0.046
2457491.5416  -31.488  0.044
2457810.5295  -31.659  0.045
2457810.6048  -31.614  0.045
2457840.5217  -31.688  0.044
2457849.5724  -31.608  0.044
2459716.29987992  -31.46  2.883
