47286.0	-41.3	1
47344.0	-37.9	1
47370.0	-39.8	1
47461.0	-36.7	1
47644.0	-39.3	1
46917.6402	-37.87	 0.34
46982.4618	-37.85	 0.30
47244.6887	-39.63	 0.32
47301.5463	-38.79	 0.30
47368.3766	-38.99	 0.30
47457.2914	-40.19	 0.34
47684.5789	-39.24	 0.31
47739.3848	-39.50	 0.32
47856.2607	-39.25 	 0.33
48000.5933	-38.69	 0.30
48117.3715	-38.23	 0.32
48146.3405	-38.19	 0.30
48334.6946	-37.30	 0.32
48464.4940	-37.06	 0.33
48492.3638	-36.26	 0.30
48504.3717	-36.16	 0.32
48789.5370	-34.70	 0.33
48854.4677	-34.32	 0.33
49086.6278	-33.12	 0.30
49100.5727	-33.29	 0.32
49181.4119	-32.57	 0.30
49185.4093	-32.48	 0.31
49245.3380	-32.52	 0.28
49265.2837	-33.08	 0.30
49421.6964	-32.10	 0.29
49460.6519	-32.39 	 0.38
49482.5353	-32.51 	 0.33
49506.5441	-32.61 	 0.33
49546.4572	-32.43	 0.32
49546.4797	-32.49	 0.33
49606.3337	-33.05	 0.30
49899.4949	-32.71	 0.31
49919.4220	-32.50	 0.31
49920.5041	-32.46	 0.30
49959.3476	-32.26	 0.34
50278.5226	-33.51	 0.31
50310.3525	-33.85	 0.30
50353.3785	-33.30	 0.30
50380.2437	-34.18	 0.30
54939.7321	-33.400	 0.052
55653.6533	-35.475	 0.058
55656.7489	-35.505	 0.060
55657.7566	-35.564	 0.061
55661.7615	-35.834	 0.061
56041.6844	-36.685	 0.060
57052.7882	-39.616	 0.063
57152.5916	-39.698	 0.059
57167.4827	-39.486	 0.063
57196.5686	-39.599	 0.063
57228.4435	-39.280	 0.061
57258.4658	-39.489	 0.062
57354.3155	-38.615	 0.062
57441.7444	-37.908	 0.064
57495.5853	-37.455	 0.059
57550.7157	-37.257	 0.060
57585.4191	-36.752	 0.063
57621.5126	-36.831	 0.060
57673.3298	-35.848	 0.060
57721.3431	-35.977	 0.060
57793.7505	-35.429	 0.058
57835.6677	-35.664	 0.060
57857.7314	-35.456	 0.059
57876.6896	-35.309	 0.058
57909.5956	-35.419	 0.063
58012.4070	-34.894	 0.062
