45742.94077   -96.74   0.42
45785.81719   -96.03   0.41
45874.69831   -95.12   0.59
46232.63111   -87.58   0.56
46252.63335   -87.80   0.58
46283.57313   -87.27   0.52
46453.97619   -86.76   0.54
46488.90284   -86.78   0.51
46510.77257   -85.90   0.59
46599.66308   -87.71   0.58
46637.60301   -88.85   0.64
46659.56246   -88.46   0.48
46788.95085   -91.23   0.67
46809.90948   -89.33   0.64
46831.92886   -90.70   0.60
46860.91426   -91.03   0.54
46953.67686   -93.17   0.69
46964.75830   -94.14   0.53
46981.60122   -93.58   0.55
46988.59970   -92.91   0.55
47008.56533   -94.40   0.57
47189.95918   -94.95   0.67
47221.96736   -96.10   0.48
47309.74218   -93.96   0.67
47345.72320   -94.20   0.44
47392.51920   -94.52   0.62
47557.95679   -90.99   0.67
47577.94246   -89.72   0.68
47605.85536   -88.61   0.50
47637.72866   -88.18   0.55
47662.75413   -86.71   0.59
47694.80292   -86.49   0.45
47696.71022   -85.77   0.44
59644.58938360  -93.300	 3.126
59648.47596833  -94.454	 4.253
59648.51804070  -95.581	 3.753
59649.48019543  -94.823	 6.823
59649.52233509  -95.347	 3.500
59649.56442665  -93.754	 1.584
59651.46874854  -95.057	 4.909
59651.51083408  -94.166	 2.123
