         Mode                 Median              +1 sigma         -1 sigma            Low_bound            Upper_bound                  5%                 95%            Parameter
      0.111732824661      0.112562566629         0.02381734        0.01864838        0.093914181933        0.136379905073          0.076124602139        0.157092525549  binary eccentricity
   1420.884508657736   1404.796799076091         9.08367213        8.26296736     1396.533831719497     1413.880471208494       1389.663861596806     1420.828632340896  binary period (days)
      4.852728735620      4.886905185160         0.13579303        0.11155804        4.775347146808        5.022698212883          4.649781284053        5.104494576951  K1 (km/sec)
  47449.088411013065  47470.461864352459        70.54945530       49.93748324    47420.524381109746    47541.011319651479      47399.986456572180    47576.818055552576  T0
    251.778038137836    258.750656845907        17.63820168       11.09744611      247.653210730985      276.388858521284        241.658343544265      287.851783478920  binary arg_per (deg)
     59.213709999129     56.522095355409        16.48165041       32.00527502       24.516820336399       73.003745768651         14.841968494953       79.739348621819  binary inclination (deg)
      0.170185297697      0.145822529474         0.08326578        0.10055779        0.045264739833        0.229088314248          0.009771097955        0.279992739741  Q (M2/M1)
    -90.862141737200    -90.887140910000         0.02758666        0.03206410      -90.919205010000      -90.859554250000        -90.958613350000      -90.847766370000  gamma velocity, star 1 (km/sec)
  47449.088411013065  47470.461864352459        70.54945530       49.93748324    47420.524381109746    47541.011319651479      47399.986456572180    47576.818055552576  Time of binary periastron passage
  47503.471218706145  47504.028402140277        18.37336156       19.26016143    47484.768240708290    47522.401763699781      47453.228834508620    47533.778490733275  Time of superior conjunction of star 1
  46821.082992431606  46841.605963091824      1346.73871114       20.30582836    46821.300134729732    48188.344674226966      46814.247132281700    48214.457111129675  Time of inferior conjunction of star 1
