         Mode                 Median              +1 sigma         -1 sigma            Low_bound            Upper_bound                  5%                 95%            Parameter
      0.588598632694      0.586757590219         0.00222830        0.00306369        0.583693900738        0.588985885630          0.581639031547        0.589648043169  binary eccentricity
  16500.476897818717  16507.980216274074        15.02969289        6.15535792    16501.824858358861    16523.009909168846      16500.486672474082    16539.406639651821  binary period (days)
      3.811413975275      3.809964365184         0.02447627        0.02577885        3.784185516744        3.834440636081          3.768840261909        3.849577000522  K1 (km/sec)
  68216.708025049506  68221.742651892535        23.71588165       17.48467275    68204.257979141141    68245.458533542973      68192.236280894154    68261.849604313044  T0
    300.189885204837    300.363796328899         0.59755145        0.59541937      299.768376956841      300.961347783328        299.359276257513      301.359608431761  binary arg_per (deg)
     66.861997129065     68.123567522093         2.09912641        2.15196501       65.971602511939       70.222693927867         65.083253922005       71.106607886179  binary inclination (deg)
     60.074203776467     60.091039854578         1.88492099        2.11735870       57.973681159212       61.975960846728         57.310663585530       62.676023980271  Omega_bin (deg)
      0.293843804083      0.300759731992         0.01971817        0.01938600        0.281373733437        0.320477898921          0.270918801010        0.333225023670  Q (M2/M1)
      0.477691066875      0.481682010000         0.01094068        0.01146540        0.470216610000        0.492622690000          0.462981440000        0.499546130000  gamma velocity, star 1 (km/sec)
  68216.708025049506  68221.742651892535        23.71588165       17.48467275    68204.257979141141    68245.458533542973      68192.236280894154    68261.849604313044  Time of binary periastron passage
  67931.222340106586  67935.505597878655        19.47268258       14.55454068    67920.951057202576    67954.978280456198      67912.158110510311    67971.399030409841  Time of superior conjunction of star 1
  72039.316758142435  72008.601464420106       141.75917586      178.46807747    71830.133386954447    72150.360640281622      71747.610332822704    72217.953867777615  Time of inferior conjunction of star 1
